interventionType,intervention,jobsType,jobsName,value,id,region,country,gP,status
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Intermediate Outcomes,Firm performance/ investment,Yes,P131354,SAR,Pakistan,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Quality,Worker productivity,Yes,P131354,SAR,Pakistan,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Quality,Earnings/ livelihood,Yes,P131354,SAR,Pakistan,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P131408,LCR,Belize,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P131408,LCR,Belize,Environment & Natural Resources GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Creation,Entrepreneurs/self-employed,Yes,P131431,MNA,Lebanon,Agriculture GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Worker productivity,Yes,P131431,MNA,Lebanon,Agriculture GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Earnings/ livelihood,Yes,P131431,MNA,Lebanon,Agriculture GP,Pipeline
Macro-level: Economic Conditions,Public Administration and Governance,Intermediate Outcomes,Firm performance/ investment,Yes,P131440,LCR,Uruguay,Macro & Fiscal Management GP,Active
Meso-level: Business Environment,Infrastructure-Energy,Intermediate Outcomes,Firm performance/ investment,Yes,P131462,EAP,Papua New Guinea,Energy & Extractives GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P131464,AFR,Rwanda,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P131464,AFR,Rwanda,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P131640,AFR,Sudan,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P131640,AFR,Sudan,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P131655,EAP,Pacific Islands,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P131655,EAP,Pacific Islands,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P131660,AFR,Malawi,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P131660,AFR,Malawi,Education GP,Active
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Earnings/ livelihood,Yes,P131760,AFR,Malawi,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P131778,AFR,Cote d'Ivoire,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P131778,AFR,Cote d'Ivoire,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P131965,AFR,Mozambique,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P131965,AFR,Mozambique,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132029,AFR,Africa,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132029,AFR,Africa,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132098,LCR,Belize,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132098,LCR,Belize,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132100,AFR,Ghana,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132100,AFR,Ghana,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Intermediate Outcomes,Firm performance/ investment,Yes,P132123,AFR,Africa,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Creation,Entrepreneurs/self-employed,Yes,P132123,AFR,Africa,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132123,AFR,Africa,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132123,AFR,Africa,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132157,MNA,Tunisia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132157,MNA,Tunisia,Environment & Natural Resources GP,Active
Meso-level: Business Environment,Infrastructure-Energy,Intermediate Outcomes,Firm performance/ investment,Yes,P132189,ECA,Turkey,Energy & Extractives GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132246,EAP,Philippines,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132246,EAP,Philippines,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P132248,AFR,Ghana,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P132248,AFR,Ghana,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P132248,AFR,Ghana,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Access to/ working of product markets,Yes,P132314,MNA,Jordan,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Firm performance/ investment,Yes,P132314,MNA,Jordan,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Job Creation,New enterprises,Yes,P132314,MNA,Jordan,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132317,EAP,Philippines,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132317,EAP,Philippines,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132415,LCR,El Salvador,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132415,LCR,El Salvador,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Quality,Worker productivity,Yes,P132416,LCR,Argentina,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Quality,Earnings/ livelihood,Yes,P132416,LCR,Argentina,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132431,AFR,Benin,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132431,AFR,Benin,Environment & Natural Resources GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P132515,LCR,Peru,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P132515,LCR,Peru,Transport and ICT GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Intermediate Outcomes,Firm performance/ investment,Yes,P132579,LCR,Caribbean,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Creation,Job creation (by employers),Yes,P132579,LCR,Caribbean,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Creation,Entrepreneurs/self-employed,Yes,P132579,LCR,Caribbean,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Access,Gender,Yes,P132579,LCR,Caribbean,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132597,AFR,Mozambique,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132597,AFR,Mozambique,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132623,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132623,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132652,ECA,Tajikistan,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132652,ECA,Tajikistan,Agriculture GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P132661,ECA,Caucasus,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P132661,ECA,Caucasus,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P132661,ECA,Caucasus,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P132667,AFR,Benin,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P132667,AFR,Benin,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P132667,AFR,Benin,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P132698,SAR,Sri Lanka,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P132698,SAR,Sri Lanka,Education GP,Active
Macro-level: Economic Conditions,Public Administration and Governance,Intermediate Outcomes,Firm performance/ investment,Yes,P132709,MNA,Tunisia,Macro & Fiscal Management GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P132742,SAR,Afghanistan,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Quality,Earnings/ livelihood,Yes,P132742,SAR,Afghanistan,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P132742,SAR,Afghanistan,Education GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Wage Subsidies,Job Quality,Earnings/ livelihood,Yes,P132751,EAP,Cambodia,Social Protection & Labor GP,Active
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Creation,Entrepreneurs/self-employed,Yes,P132754,ECA,Kyrgyz Republic,Water GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Worker productivity,Yes,P132754,ECA,Kyrgyz Republic,Water GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Earnings/ livelihood,Yes,P132754,ECA,Kyrgyz Republic,Water GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Access to/ working of product markets,Yes,P132824,AFR,Gabon,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Firm performance/ investment,Yes,P132824,AFR,Gabon,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,Job creation (by employers),Yes,P132824,AFR,Gabon,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,New enterprises,Yes,P132824,AFR,Gabon,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Quality,Worker productivity,Yes,P132824,AFR,Gabon,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Access,Labor force participation,Yes,P132824,AFR,Gabon,Transport and ICT GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Intermediate Outcomes,Access to/ working of product markets,Yes,P132846,LCR,Argentina,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132846,LCR,Argentina,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132846,LCR,Argentina,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132851,LCR,Colombia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132851,LCR,Colombia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132873,EAP,China,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132873,EAP,China,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Intermediate Outcomes,Firm performance/ investment,Yes,P132890,LCR,Caribbean,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Creation,Job creation (by employers),Yes,P132890,LCR,Caribbean,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Creation,Entrepreneurs/self-employed,Yes,P132890,LCR,Caribbean,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Access,Gender,Yes,P132890,LCR,Caribbean,Trade & Competitiveness GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Access to/ working of product markets,Yes,P132909,AFR,Sierra Leone,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Firm performance/ investment,Yes,P132909,AFR,Sierra Leone,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,Job creation (by employers),Yes,P132909,AFR,Sierra Leone,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,New enterprises,Yes,P132909,AFR,Sierra Leone,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Quality,Worker productivity,Yes,P132909,AFR,Sierra Leone,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Access,Labor force participation,Yes,P132909,AFR,Sierra Leone,Transport and ICT GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132945,EAP,Indonesia,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132945,EAP,Indonesia,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P132998,AFR,Mauritania,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P132998,AFR,Mauritania,"Urban, Rural & Social GP",Active
Macro-level: Economic Conditions,Public Administration and Governance,Intermediate Outcomes,Firm performance/ investment,Yes,P133071,AFR,Nigeria,Governance GP,Active
Macro-level: Economic Conditions,Public Administration and Governance,Job Creation,Job creation (by employers),Yes,P133071,AFR,Nigeria,Governance GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P133129,LCR,Argentina,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P133129,LCR,Argentina,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P133129,LCR,Argentina,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P133133,AFR,Ethiopia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P133133,AFR,Ethiopia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Quality,Earnings/ livelihood,Yes,P133327,ECA,Tajikistan,Water GP,Active
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Access,Working of labor market,Yes,P133327,ECA,Tajikistan,Water GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P133352,LCR,Haiti,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P133352,LCR,Haiti,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Access,Labor force participation,Yes,P133352,LCR,Haiti,Transport and ICT GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P133410,AFR,Ethiopia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P133410,AFR,Ethiopia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Wage Subsidies,Job Quality,Earnings/ livelihood,Yes,P133597,AFR,Senegal,Social Protection & Labor GP,Active
Macro-level: Economic Conditions,Taxation/Fiscal Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P133664,AFR,Ghana,Macro & Fiscal Management GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Access to/ working of product markets,Yes,P133687,AFR,Mozambique,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Firm performance/ investment,Yes,P133687,AFR,Mozambique,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Job Creation,New enterprises,Yes,P133687,AFR,Mozambique,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Public Employment,Job Quality,Earnings/ livelihood,Yes,P133699,MNA,"Yemen, Republic of",Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Public Employment,Job Access,Working of labor market,Yes,P133699,MNA,"Yemen, Republic of",Social Protection & Labor GP,Active
Macro-level: Economic Conditions,Public Administration and Governance,Intermediate Outcomes,Firm performance/ investment,Yes,P133731,AFR,"Congo, Republic of",Poverty GP,Active
Macro-level: Economic Conditions,Taxation/Fiscal Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P133738,LCR,Guatemala,Macro & Fiscal Management GP,Active
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Quality,Earnings/ livelihood,Yes,P133755,AFR,Comoros,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Access,Working of labor market,Yes,P133755,AFR,Comoros,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P133803,SAR,India,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P133803,SAR,India,Environment & Natural Resources GP,Pipeline
Meso-level: Business Environment,Infrastructure-Energy,Intermediate Outcomes,Firm performance/ investment,Yes,P143159,ECA,Russian Federation,Environment & Natural Resources GP,Pipeline
Meso-level: Business Environment,Infrastructure-Energy,Job Creation,Entrepreneurs/self-employed,Yes,P143159,ECA,Russian Federation,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P143184,LCR,Brazil,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P143184,LCR,Brazil,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P143192,AFR,Burkina Faso,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P143192,AFR,Burkina Faso,Agriculture GP,Active
Macro-level: Economic Conditions,Trade & Investment Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P143302,AFR,Ethiopia,Trade & Competitiveness GP,Active
Macro-level: Economic Conditions,Trade & Investment Policy,Job Creation,Job creation (by employers),Yes,P143302,AFR,Ethiopia,Trade & Competitiveness GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P143307,AFR,Africa,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P143307,AFR,Africa,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P143329,AFR,"Gambia, The",Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P143329,AFR,"Gambia, The",Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Wage Subsidies,Job Access,Labor force participation,Yes,P143332,AFR,Cote d'Ivoire,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P143354,EAP,Indonesia,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P143354,EAP,Indonesia,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Access to/ working of product markets,Yes,P143465,EAP,Vanuatu,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Firm performance/ investment,Yes,P143465,EAP,Vanuatu,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,Job creation (by employers),Yes,P143465,EAP,Vanuatu,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,New enterprises,Yes,P143465,EAP,Vanuatu,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Job Quality,Worker productivity,Yes,P143465,EAP,Vanuatu,Transport and ICT GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P143492,LCR,Brazil,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P143492,LCR,Brazil,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Bottom 40/ Poor,Yes,P143492,LCR,Brazil,Environment & Natural Resources GP,Pipeline
Meso-level: Business Environment,Labor Policies,Job Access,Working of labor market,Yes,P143537,EAP,China,"Health, Nutrition & Population GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P143551,MNA,Lebanon,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P143551,MNA,Lebanon,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Wage Subsidies,Job Quality,Earnings/ livelihood,Yes,P143588,AFR,Sierra Leone,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P143594,MNA,Lebanon,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P143594,MNA,Lebanon,Environment & Natural Resources GP,Active
Meso-level: Business Environment,Infrastructure-Energy,Intermediate Outcomes,Firm performance/ investment,Yes,P143605,AFR,Senegal,Energy & Extractives GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P143608,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P143608,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Access to/ working of product markets,Yes,P143635,AFR,Uganda,Finance & Markets GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Firm performance/ investment,Yes,P143635,AFR,Uganda,Finance & Markets GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Job Creation,New enterprises,Yes,P143635,AFR,Uganda,Finance & Markets GP,Pipeline
Meso-level: Business Environment,Labor Policies,Job Access,Working of labor market,Yes,P143652,AFR,Benin,"Health, Nutrition & Population GP",Active
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Intermediate Outcomes,Firm performance/ investment,Yes,P143715,MNA,"Yemen, Republic of",Trade & Competitiveness GP,Active
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Creation,Job creation (by employers),Yes,P143715,MNA,"Yemen, Republic of",Trade & Competitiveness GP,Active
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Creation,Entrepreneurs/self-employed,Yes,P143715,MNA,"Yemen, Republic of",Trade & Competitiveness GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P143770,EAP,Thailand,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P143770,EAP,Thailand,"Urban, Rural & Social GP",Active
